Alternative,Australia,Brazil,Chile,China,Colombia,Germany,Ghana,India,Japan,South Korea,Peru,Poland,South Africa,Sweden,Thailand,Turkey,Ukraine,Egypt,United States,United States
Completely disagree,"13,3","29,1","2,9","8,3",7,"7,5","9,8","4,9","7,7","8,8","6,7","4,8","5,9","27,3","4,7","8,9","5,9","17,3","10,2","63,5"
2,"6,4",10,"2,1","5,6","3,3","3,7","6,3",0,"3,5",3,"4,6",5,"2,9","14,3","2,9",3,"4,4","4,2","5,2","30,8"
3,"11,1","9,6","2,4","5,2","3,6",5,8,0,9,"7,8","5,5","5,8","3,3","13,4","2,5","4,2",4,"6,8","6,1",
4,"7,2","7,6",3,5,"3,3","4,8","4,1","18,2","6,4","8,2","5,9","5,9","4,4","5,9","4,1","6,4","5,8","6,6","6,7",
5,"16,8","18,2","10,9",9,"9,7",8,"6,6",0,"19,1","22,8","14,4","18,5","11,8","11,1","25,5","10,5","12,2","17,2","16,1",
6,8,"5,2","10,2","9,5","5,2","4,6","10,4",0,"16,5","11,2","7,6","8,3","8,2","6,1","20,1","8,9","10,6","7,5","11,2",
7,"8,7","5,5","10,2","8,6","7,1","5,1","11,6","27,7","7,6","12,5","9,2","10,9","8,8","6,6","16,6","11,6","11,4","8,1","12,1",
8,"9,7","5,3","12,6","8,2","12,4","4,3",10,0,"6,4","10,5","12,2","12,9","12,7","6,4","11,1","14,1","11,7","10,1","10,7",
9,"6,2","2,5","10,1","6,2","14,7",2,"11,6",0,"3,5","7,3",10,"6,4","12,9","2,9","4,6",7,"9,9","6,6","7,4",
Completely agree,"11,4",6,"32,9",8,"33,1","3,3","19,9","22,8","3,8","7,7",17,"13,5","22,6","3,6","7,4","18,4","11,6",14,"11,7",